We haz Asian,EU
Western Wolves,EU
Wild Honey Badgers,EU
XtremeXPC,EU
youBoat,EU
Zero Respect,EU
iLuminate,EU
Samurai Champloo,EU
Ancient Warriors,EU
Druidz,EU
So Many Midases,EU
eXperience Gaming,EU
3DMAX,EU
Re-defining Madness,EU
GamesBoard Team,EU
DTS2010,EU
OK.Nirvana.int,Europe
BetBoom Team,CIS
cybercats,CIS
Darkside,CIS
HellRaisers,CIS
HYDRA,CIS
Magic Hands,CIS
Marlerino eSports,CIS
Mind Games,CIS
Natus Vincere,CIS
NAVI Junior,CIS
Nemiga Gaming,CIS
One Move,CIS
Pavaga Gaming,CIS
Rune Eaters,CIS
Team Empire Hope,CIS
Team Spirit,CIS
Virtus.pro,CIS
Antarctic Penguins,CIS
3D!Clan,CIS
Ahead Gaming,CIS
Arcade.PowerRangers,CIS
AS Monaco Gambit,CIS
aSpera,CIS
ASUS Polar,CIS
Aware Gaming,CIS
Azerbaijan,CIS
Big Red Machine,CIS
Black Hornets Gaming,CIS
Burning Fire,CIS
Cascade,CIS
CIS Rejects,CIS
Comanche,CIS
Courage Gaming,CIS
CrowCrowd,CIS
Cyber Anji,CIS
Cyber Legacy,CIS
CyberDogs,CIS
Cyberium,CIS
Cyberium Seed,CIS
Darer,CIS
Dota AllStars,CIS
Double Dimension,CIS
DreamTeam168,CIS
DTS Gaming,CIS
Duza Gaming,CIS
Effect,CIS
Enso,CIS
Espada,CIS
EXTREMUM,CIS
F.R.I.E.N.D.S.,CIS
Family Team,CIS
Fantastic Five,CIS
FCDB Esports,CIS
ferzee,CIS
FlyToMoon,CIS
forZe,CIS
Gambit Esports,CIS
Gentlemen,CIS
GUS Gaming,CIS
iCCup,CIS
Imperial Pro Gaming,CIS
jfshfh178,CIS
Khan,CIS
Kompas.Gaming,CIS
Live to Win,CIS
LQ,CIS
M19,CIS
Majori Edut na Minor,CIS
MEGA-LADA E-sports,CIS
Modus Unity,CIS
Moscow Five,CIS
MVP Revolution,CIS
Newteam123123,CIS
NEXT.kz,CIS
No Sorry,CIS
NoLifer5,CIS
NoLifer5.Reborn,CIS
NoTechies,CIS
NOVA,CIS
NVMI,CIS
Odium,CIS
Old but Gold,CIS
Oslik Gaming,CIS
Outsiders,CIS
Pari Parni,CIS
Polarity,CIS
Poseidon,CIS
Positive Guys,CIS
Power Rangers,CIS
PRIES,CIS
Prodota Gaming X,CIS
PuckChamp,CIS
Rebels,CIS
Relax,CIS
Revival Gaming,CIS
RoX,CIS
ScaryFaceZ,CIS
Se7en eSports,CIS
SFTe-sports,CIS
Siberian Valenki,CIS
SMARACIS Esports,CIS
Spartak Esports,CIS
Special Reaction Team,CIS
Team Empire,CIS
Team Kharkiv,CIS
Team Unique,CIS
Terrible Terrible Damage,CIS
The Pango,CIS
The Retry,CIS
TPB,CIS
Vega Squadron,CIS
VP.Prodigy,CIS
Walrus Punch!,CIS
Winstrike Team,CIS
X3,CIS
xGame.kz,CIS
XX5 Gaming,CIS
Yellow Submarine,CIS
zNation,CIS
Ice Climbers,CIS
Cleave Gaming,CIS
RUS,CIS
Aster.Aries,CN
iG Vitality,CN
Invictus Gaming,CN
LBZS,CN
PSG.LGD,CN
Royal Never Give Up,CN
Solitude,CN
Supernova,CN
Team Aster,CN
Vici Gaming,CN
Xtreme Gaming,CN
Ybb Gaming,CN
Aster.Aquarius,CN
Aurora Esports club,CN
Avalon Gaming,CN
Big God,CN
Blaze,CN
Brave Heart,CN
CAVALRY,CN
CDEC Avenger,CN
CDEC Gaming,CN
CDEC Youth,CN
CIS Game,CN
CNB.cn,CN
Dandelion Esport Club,CN
DeathBringer Gaming,CN
DK Renaissance,CN
DK Scuderia,CN
Dream Gaming,CN
DT^Club,CN
Echo Gaming,CN
Eclipse,CN
EHOME,CN
EHOME.Immortal,CN
EHOME.Keen,CN
EHOME.Luminous,CN
EHOME.X,CN
Elephant,CN
Energy Pacemaker,CN
For The Dream,CN
For.Love,CN
FTD club B,CN
FTD club C,CN
HyperGloryTeam,CN
IamPoint Club,CN
Immortal Magneto,CN
Keen Gaming,CN
KG.Luminous,CN
LAI Gaming,CN
LGD.CDEC,CN
LGD.Forever Young,CN
LV Gaming,CN
MAX.X,CN
MAX.Y,CN
Mr Game Boy,CN
New Element,CN
Newbee,CN
Newbee Boss,CN
Newbee Young,CN
Newbee.M,CN
Ocean,CN
Old Boys,CN
Orenda,CN
Phoenix Gaming,CN
RattleSnake,CN
Revive,CN
RisingStars,CN
Royal,CN
ShenZhen,CN
Sparking Arrow Gaming,CN
Speed Gaming.cn,CN
Sun Gaming,CN
Taichi Gaming,CN
Team DK,CN
Team EVER,CN
Team FanTuan,CN
Team MagMa,CN
Team MAX,CN
Team Random,CN
Team Root,CN
Team Serenity,CN
Team Sirius,CN
Thunderobot Gaming,CN
To.be.or.not.to.be,CN
TongFu,CN
TongFu.WanZhou,CN
TYLOO,CN
Typhoon E-Sports Club,CN
VDuoBao,CN
VGJ.Thunder,CN
VG.Potential,CN
VG.Reborn,CN
We Are Young,CN
White Fries Gaming,CN
Wings Gaming,CN
Wings.Red,CN
World Elite,CN
You Know Who,CN
Army Geniuses,SEA
Blacklist International,SEA
Bleed Esports,SEA
BOOM Esports,SEA
Execration,SEA
Fnatic,SEA
Geek Slate,SEA
Lilgun,SEA
Neon Esports,SEA
Polaris Esports,SEA
Talon Esports,SEA
Team SMG,SEA
Yangon Galacticos,SEA
1st.VN,SEA
2Be Continued Esports,SEA
496 Gaming,SEA
5eva,SEA
90s Gaming,SEA
Aces Gaming,SEA
Acion Arena,SEA
Adroit Esports,SEA
ALPHA Blue,SEA
ALPHA Red,SEA
Alpha x Hashtag,SEA
Alter Ego,SEA
Apple Banana Cucumber,SEA
Arcanys,SEA
Arrow Gaming,SEA
Athletico Esports,SEA
Atlantis,SEA
Awake,SEA
Beyond Infinity,SEA
Can't Say Wips,SEA
Cignal Ultra,SEA
Click 'N Search,SEA
Clutch Gamers,SEA
Dark Sided,SEA
DeToNator,SEA
Dota Hero,SEA
Echo International,SEA
EHOME Malaysia,SEA
EVOS Esports,SEA
Exclamation Mark,SEA
Eyes of Tiger,SEA
Fire Dragoon,SEA
First Departure,SEA
G Guard Esports,SEA
Global Esports,SEA
Gse7en,SEA
HappyFeet,SEA
iDeal eSports,SEA
Imba Gaming,SEA
InfinityVN,SEA
Insidious Idol,SEA
Invasion e-Sports,SEA
Kingdom,SEA
Ledion Dreamz,SEA
LGD.int,SEA
Lotac,SEA
Lowkey Esports,SEA
Mineski,SEA
Mineski-X,SEA
Mineski.Korea,SEA
Made in Thailand,SEA
Mobility Gaming,SEA
Motivate.Trust Gaming,SEA
MS Chonburi,SEA
MSI-EvoGT,SEA
MUFC,SEA
MVP HOT6ix,SEA
MVP Phoenix,SEA
Nas Ne Dogonyat,SEA
Natit Gaming,SEA
Neolution E-Sport,SEA
Next Generation,SEA
Nigma Galaxy SEA,SEA
Omega Esports,SEA
Orange Esports,SEA
Orange.Taring,SEA
PG.Barracx,SEA
Pokerface,SEA
Power Gaming,SEA
Question Mark,SEA
Rave,SEA
Reality Rift,SEA
Reckoning Esports,SEA
Rex Regum Qeon,SEA
RRQ.Trust,SEA
RSG,SEA
s1 Lykos,SEA
Scythe Gaming,SEA
See You Again,SEA
Seventh Heaven,SEA
Singaporean Rejects,SEA
Signature Gaming,SEA
Signify,SEA
Skyred,SEA
Spac_ Creators,SEA
StarTale,SEA
Sterling Global Dragons,SEA
T1,SEA
Taring,SEA
TaskUs Titans,SEA
Team Amplfy,SEA
Team Bazaar,SEA
Team Bazaar.Youth,SEA
Team Cyanide,SEA
Team Faceless,SEA
Team Flash,SEA
Team High Ground,SEA
Team Immunity,SEA
Team Impervious,SEA
Team Malaysia,SEA
Team Oracle,SEA
Team Orca,SEA
Team SatuDuaTiga,SEA
Team Veteran,SEA
Team Zenith,SEA
TeamB eSports,SEA
The Mongolz,SEA
The Prime,SEA
Tigers,SEA
Titan,SEA
TNC Predator,SEA
TNC Tigers,SEA
Trident Esports,SEA
Vice Esports,SEA
WarriorsGaming.Unity,SEA
WarriorsGaming.Youth,SEA
Who2Bet,SEA
ZEN9,SEA
Zephyr,SEA
Zerothreetwo Dota,SEA
Monkey Spanner,SEA
5 in QO,SEA
MVP Aegis,SEA
FXOpen e-Sports,SEA
For Our Utopia,SEA
Team Muhan,SEA
Get Outs,SEA
UnderRateds,SEA
Virtual Throne,SEA
Underminer,SEA
Chains Stack,SEA
Everlast-GameFilling,SEA
JoeNet,SEA
White Rabbit Gaming,Africa
Bravado Gaming,Africa
